City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,poum,-20.2333,164.0167,82.13,78,100,11.25,NC,1675887481
110,klaksvik,62.2266,-6.589,34.72,62,85,30.98,FO,1675887301
111,makakilo city,21.3469,-158.0858,77.32,58,0,13.8,US,1675887233
112,clyde river,70.4692,-68.5914,-28.97,68,20,4.61,CA,1675887298
113,coquimbo,-29.9533,-71.3436,69.53,73,0,14.97,CL,1675887231
114,mednogorskiy,43.9178,41.1825,11.41,96,79,3.42,RU,1675887656
115,banda aceh,5.5577,95.3222,77.16,84,100,7.54,ID,1675887381
116,joniskis,56.2403,23.6153,31.12,89,96,9.53,LT,1675887656
117,ostrovnoy,68.0531,39.5131,30.96,77,100,38.1,RU,1675887299
118,kapaa,22.0752,-159.319,78.78,76,100,21.85,US,1675887222
119,waipawa,-41.4122,175.5153,58.24,79,59,5.82,NZ,1675887657
120,zyryanka,65.75,150.85,-31.2,100,99,0.72,RU,1675887347
121,fillan,63.6064,8.9696,44.04,67,100,9.53,NO,1675887657
122,vila velha,-20.3297,-40.2925,82.35,65,20,10.36,BR,1675887599
123,soyo,-6.1349,12.3689,79.75,84,17,9.6,AO,1675887658
124,piacabucu,-10.4056,-36.4344,80.78,65,100,8.46,BR,1675887658
125,folldal,62.1325,9.9968,25.75,93,100,10.25,NO,1675887658
126,katherine,-14.4667,132.2667,80.92,83,100,8.05,AU,1675887659
127,gorontalo,0.5412,123.0595,72.75,92,100,3.13,ID,1675887659
128,lazaro cardenas,17.9583,-102.2,82.65,59,0,9.91,MX,1675887387
129,milkovo,54.7167,158.6167,-2.56,99,100,2.21,RU,1675887659
130,severo-kurilsk,50.6789,156.125,21.22,74,94,10.76,RU,1675887337
131,kodiak,57.79,-152.4072,27.91,43,0,6.91,US,1675887276
132,grand gaube,-20.0064,57.6608,79.38,77,8,7.0,MU,1675887660
133,chateaubelair,13.2833,-61.25,79.32,74,40,14.97,VC,1675887660
134,aksu,41.1231,80.2644,24.15,82,75,5.97,CN,1675887660
135,acajutla,13.5928,-89.8275,85.37,54,3,8.72,SV,1675887473
136,suntar,62.1444,117.6319,-51.88,100,65,0.78,RU,1675887464
137,bintulu,3.1667,113.0333,73.81,100,20,2.3,MY,1675887661
138,astakos,38.5356,21.0814,37.72,66,86,12.8,GR,1675887661
139,batagay-alyta,67.8006,130.4114,-45.15,99,66,3.42,RU,1675887662
140,avarua,-21.2078,-159.775,82.45,78,40,12.66,CK,1675887263
141,rocha,-34.4833,-54.3333,76.69,67,99,14.94,UY,1675887335
142,bethel,41.3712,-73.414,52.02,51,0,6.91,US,1675887461
143,phuket,8.0,98.25,79.02,83,20,3.44,TH,1675887414
144,manado,1.487,124.8455,70.57,100,40,1.14,ID,1675887664
145,sitka,57.0531,-135.33,37.29,75,40,8.05,US,1675887216
146,matipo,-20.2839,-42.3411,72.27,93,100,3.8,BR,1675887665
147,acarau,-2.8856,-40.12,81.37,73,68,12.15,BR,1675887491
148,mchinji,-13.7984,32.8802,63.48,96,100,2.95,MW,1675887667
149,nyurba,63.2842,118.3319,-54.11,100,68,1.28,RU,1675887667
150,vung tau,10.346,107.0843,78.06,80,35,20.4,VN,1675887668
151,vasilyevskiy mokh,57.0132,35.919,27.16,93,100,6.51,RU,1675887670
152,andilamena,-17.0167,48.5833,66.42,88,99,5.23,MG,1675887671
153,barrow,71.2906,-156.7887,-14.78,76,100,0.0,US,1675887235
154,bonthe,7.5264,-12.505,77.83,78,53,9.06,SL,1675887400
155,nouadhibou,20.931,-17.0347,66.18,59,40,16.11,MR,1675887673
156,upata,8.0086,-62.3989,82.38,51,100,4.68,VE,1675887675
157,crawfordsville,40.0411,-86.8745,50.14,53,100,6.91,US,1675887676
158,viedma,-40.8135,-62.9967,83.91,22,60,11.54,AR,1675887677
159,victor harbor,-35.5667,138.6167,67.68,83,4,3.29,AU,1675887678
160,mareeba,-17.0,145.4333,74.44,92,68,2.77,AU,1675887355
161,butaritari,3.0707,172.7902,79.75,85,94,19.95,KI,1675887219
162,iqaluit,63.7506,-68.5145,-6.68,83,100,8.52,CA,1675887229
163,brigantine,39.4101,-74.3646,61.0,65,0,13.8,US,1675887679
164,shingu,33.7333,135.9833,38.21,80,11,6.89,JP,1675887346
165,puerto narino,-3.7703,-70.3831,78.55,84,100,2.06,CO,1675887680
166,neryungri,56.6709,124.6491,-26.48,98,100,2.89,RU,1675887626
167,beloha,-25.1667,45.05,76.28,78,100,3.83,MG,1675887682
168,sao filipe,14.8961,-24.4956,69.66,72,32,12.1,CV,1675887294
169,placido de castro,-10.3353,-67.1856,86.11,62,50,4.07,BR,1675887682
170,souillac,-20.5167,57.5167,79.18,83,75,5.75,MU,1675887240
171,dunedin,-45.8742,170.5036,51.87,63,10,17.65,NZ,1675887452
172,mahebourg,-20.4081,57.7,79.25,83,75,5.75,MU,1675887125
173,puerto leguizamo,-0.1934,-74.7819,88.3,48,93,1.21,CO,1675887685
174,jalu,29.0331,21.5482,54.36,42,97,11.43,LY,1675887343
175,ponta do sol,32.6667,-17.1,59.72,66,64,6.4,PT,1675887226
176,jalapa,19.5333,-96.9167,75.13,51,7,7.27,MX,1675887443
177,pisco,-13.7,-76.2167,80.65,69,0,19.57,PE,1675887371
178,talnakh,69.4865,88.3972,-9.8,96,100,8.93,RU,1675887259
179,havelock,34.8791,-76.9013,73.36,50,0,10.36,US,1675887470
180,lagoa,39.05,-27.9833,56.48,61,52,13.53,PT,1675887141
181,eldorado,-23.7869,-54.2836,87.53,44,27,6.17,BR,1675887691
182,port hardy,50.6996,-127.4199,41.18,87,100,17.27,CA,1675887313
183,hede,33.7681,120.2517,41.2,80,100,9.24,CN,1675887693
184,dongsheng,39.8161,109.9776,26.24,96,100,12.08,CN,1675887247
185,ati,13.2154,18.3353,75.24,14,100,9.48,TD,1675887694
186,santa rosalia,27.3167,-112.2833,65.46,32,0,12.64,MX,1675887694
187,garowe,8.4054,48.4845,71.89,69,38,11.25,SO,1675887695
188,kendari,-3.945,122.4989,76.17,91,100,2.19,ID,1675887696
189,lucapa,-8.4192,20.7447,65.23,97,100,4.97,AO,1675887696
190,vanavara,60.34,102.2797,0.18,99,100,2.26,RU,1675887696
191,nushki,29.5542,66.0215,65.5,36,100,13.35,PK,1675887697
192,ban tak,17.0432,99.0813,68.22,37,4,4.72,TH,1675887697
193,athni,16.7333,75.0667,75.27,28,54,8.19,IN,1675887698
194,saldanha,-33.0117,17.9442,67.62,78,58,16.49,ZA,1675887511
195,selma,36.5708,-119.6121,59.02,76,0,0.0,US,1675887207
196,kismayo,-0.3582,42.5454,76.96,85,7,15.37,SO,1675887698
197,oyon,-10.6681,-76.7731,55.27,63,100,3.91,PE,1675887698
198,ayamonte,37.2099,-7.4027,51.37,79,5,8.9,ES,1675887699
